Data,IE00B5BD5K76
03/2000,290704.88375701325
04/2000,292162.06626866997
05/2000,282958.37172633107
06/2000,281356.63509492174
07/2000,286213.66584479355
08/2000,293524.16988176777
09/2000,284258.03339538095
10/2000,293742.3580363
11/2000,273661.6564957022
12/2000,272980.14872778027
01/2001,273435.0680097113
02/2001,250621.4796214999
03/2001,242831.15453349543
04/2001,258778.0052092683
05/2001,257635.84235723264
06/2001,247874.9967043713
07/2001,240665.47318532135
08/2001,224064.7042313802
09/2001,202281.97902878906
10/2001,210750.4300337378
11/2001,222740.16368957039
12/2001,230630.47844791107
01/2002,223014.26058567685
02/2002,222597.24183593117
03/2002,232678.29147902597
04/2002,223603.19850571066
05/2002,213899.54417193012
06/2002,194284.8495678742
07/2002,176039.6802633927
08/2002,175097.81060802133
09/2002,151632.68205491672
10/2002,166208.6341401349
11/2002,173249.55751091818
12/2002,158036.88255104882
01/2003,145967.568797502
02/2003,141637.00530649076
03/2003,138065.0093997724
04/2003,153352.57652736214
05/2003,153741.5739781082
06/2003,160576.78748596588
07/2003,165403.37282269125
08/2003,170984.64861235433
09/2003,163593.3529648282
10/2003,174974.0713750852
11/2003,176748.6998413409
12/2003,181618.07914430246
