Data,IE00B9MRHC27
11/2021,1753330.8597116575
12/2021,1870808.882087137
01/2022,1723044.79120008
02/2022,1649148.1143579714
03/2022,1715120.0395612095
04/2022,1703883.9883324066
05/2022,1656056.6335303418
06/2022,1531734.4170502452
07/2022,1694589.0679466983
08/2022,1599611.666769248
09/2022,1459781.9594337987
10/2022,1548925.587021799
11/2022,1642382.0454504546
12/2022,1631637.1571680636
01/2023,1664613.8231897277
02/2023,1724969.8369664229
03/2023,1722601.3887530111
04/2023,1763222.7226987607
05/2023,1688423.507934932
06/2023,1706752.930700587
07/2023,1709622.3318219578
08/2023,1709601.3220183158
09/2023,1729473.5629488814
10/2023,1671926.570793285
11/2023,1791543.5933843919
12/2023,1895278.9296408796
01/2024,1930277.4649285625
02/2024,1982059.0048945302
03/2024,2040126.8244708243
04/2024,2039745.1327791663
